ID	father	mother	sex	line	treat	d8weight	d21weight	d36weight	d78weight	age1stegg	eggNumber	batch
6664	5983	6124	M	DD	IC	27	94	136				1
1448	6000	6051	F	DD	IC	27	98	134				2
7424	6173	6059	M	DD	Control	27	95	133				1
2263	6134	6029	M	DD	Control	27	98	132				2
6995	6047	6036		DD	Bisphenol	27						1
7469	6095	6139	F	DD	Control	28	100	144				1
2319	6033	5966	M	DD	Control	28	99	143				2
7468	6095	6139	F	DD	Control	28	98	143				1
7444	6000	6051	F	DD	Control	28	98	140				1
7478	6050	6027	F	DD	Control	28	95	137				1
7211	6030	6019	M	DD	Genistein	28	91	128				1
6657	6071	6130	M	DD	IC	28.6	92	133				1
1447	6000	6051	F	DD	IC	29	103	158				2
7460	6172	6086	F	DD	Control	29	105	155				1
7430	6172	6140	F	DD	Control	29	104	149				1
7437	6152	5974	F	DD	Control	29.4	104	150				1
1438	6150	5978	M	DD	IC	31	97	141				2
7459	6172	6086	F	DD	Control	31		140				1
7442	5968	6132	F	DD	Control	32	117	162				1
6962	5761	5734	M	B	Bisphenol	38.1	152	200	200			1
1380	5781	5701	M	B	IC	38	132	222	211			2
6955	5797	5862	F	B	Bisphenol	41		250	221	67	5	1
1859	5826	5924	F	B	Genistein	39	165	264	223			2
2012	5799	5907	F	B	5Aza	41	175	258	238	55	14	2
1404	5772	5780	M	B	IC	41	157	234	262			2
1853	5851	5804	F	B	Genistein	34	141	241	268	54	21	2
1423	5941	5904	M	B	IC	37	151	223	273			2
6565	5894	5860	M	B	IC	21	108	209	282			1
6961	5719	5708	M	B	Bisphenol	42	163	243	283			1
1375	5867	5863	M	B	IC	44	146	226	291			2
6929	5885	5805	M	B	Bisphenol	38.8	144	211	292			1
2001	5855	5703	M	B	5Aza	30	134	190	294			2
7363	5855	5703	M	B	Control	34	141	217	295			1
7406	5926	5731	M	B	Control	37.4	142	231	295			1
6773	5917	5940	F	B	5Aza	40.4	168	242	296	56	16	1
6764	5793	5711	M	B	5Aza	39	145	221	298			1
6595	5793	5711	M	B	IC	40	149	221	300			1
1424	5941	5904	M	B	IC	36	131	211	302			2
1601	5868	5760	M	B	Bisphenol	37	146	224	303			2
6975	5944	5767	M	B	Bisphenol	46	174	251	304			1
6974	5944	5767	M	B	Bisphenol	36	130	204	305			1
6784	5822	5778	M	B	5Aza	37.3	155	232	305			1
1850	5799	5907	M	B	Genistein	45	165	220	306			2
7409	5864	5947	M	B	Control	37.4	139	235	307			1
6942	5793	5711	M	B	Bisphenol	41	153	221	307			1
6601	5729	5949	M	B	IC	41.7	155	229	309			1
6767	5772	5780	M	B	5Aza	46.6	172	236	309			1
