id	cage	line	date	hour	batch	count
6506	10	A	22/11/2016	8	1	1
6506	10	A	23/11/2016	9	1	1
6506	10	A	24/11/2016	8	1	1
6506	10	A	25/11/2016	9	1	1
6506	10	A	26/11/2016	11	1	1
6506	10	A	27/11/2016	11	1	1
6506	10	A	28/11/2016	9	1	1
6506	10	A	29/11/2016	14	1	1
6506	10	A	30/11/2016	10	1	1
6506	10	A	02/12/2016	8	1	1
6506	10	A	03/12/2016	9	1	1
6506	10	A	04/12/2016	9	1	1
6506	10	A	05/12/2016	9	1	1
6506	10	A	06/12/2016	11	1	1
6506	10	A	07/12/2016	9	1	1
6506	10	A	08/12/2016	12	1	1
6506	10	A	08/12/2016	13	1	1
6506	10	A	09/12/2016	13	1	1
6506	10	A	11/12/2016	9	1	1
6506	10	A	12/12/2016	9	1	1
6506	10	A	13/12/2016	11	1	1
6506	10	A	13/12/2016	13	1	1
6506	10	A	15/12/2016	11	1	1
6981	11	B	20/11/2016	8	1	1
6981	11	B	21/11/2016	8	1	1
6981	11	B	22/11/2016	8	1	1
6981	11	B	23/11/2016	9	1	1
6981	11	B	24/11/2016	8	1	1
6981	11	B	25/11/2016	9	1	1
6981	11	B	26/11/2016	11	1	1
6981	11	B	28/11/2016	9	1	1
6981	11	B	29/11/2016	14	1	1
6981	11	B	30/11/2016	10	1	1
6981	11	B	01/12/2016	11	1	1
6981	11	B	03/12/2016	9	1	1
6981	11	B	04/12/2016	9	1	1
6981	11	B	06/12/2016	11	1	1
6981	11	B	07/12/2016	9	1	1
6981	11	B	08/12/2016	13	1	1
6981	11	B	09/12/2016	13	1	1
6981	11	B	10/12/2016	9	1	1
6981	11	B	11/12/2016	9	1	1
6981	11	B	12/12/2016	9	1	1
6981	11	B	14/12/2016	10	1	1
6981	11	B	15/12/2016	11	1	1
6688	12	S+	27/11/2016	11	1	1
6688	12	S+	28/11/2016	9	1	1
6688	12	S+	29/11/2016	14	1	1
6688	12	S+	30/11/2016	10	1	1
6688	12	S+	01/12/2016	11	1	1
6688	12	S+	02/12/2016	8	1	1
6688	12	S+	03/12/2016	9	1	1
6688	12	S+	04/12/2016	9	1	1
6688	12	S+	05/12/2016	9	1	1
6688	12	S+	06/12/2016	11	1	1
6688	12	S+	07/12/2016	9	1	1
6688	12	S+	08/12/2016	13	1	1
6688	12	S+	09/12/2016	13	1	1
6688	12	S+	10/12/2016	9	1	1
6688	12	S+	12/12/2016	9	1	1
6688	12	S+	13/12/2016	11	1	1
6688	12	S+	14/12/2016	10	1	1
6688	12	S+	15/12/2016	11	1	1
7016	13	DD	29/11/2016	14	1	1
7016	13	DD	30/11/2016	10	1	1
7016	13	DD	01/12/2016	11	1	1
7016	13	DD	02/12/2016	8	1	1
7016	13	DD	03/12/2016	9	1	1
7016	13	DD	04/12/2016	9	1	1
7016	13	DD	05/12/2016	9	1	1
7016	13	DD	06/12/2016	11	1	1
7016	13	DD	08/12/2016	13	1	1
7016	13	DD	09/12/2016	13	1	1
7016	13	DD	10/12/2016	9	1	1
7016	13	DD	11/12/2016	9	1	1
7016	13	DD	12/12/2016	9	1	1
7016	13	DD	13/12/2016	11	1	1
7016	13	DD	14/12/2016	10	1	1
7016	13	DD	15/12/2016	11	1	1
7493	14	S+	02/12/2016	8	1	1
7493	14	S+	03/12/2016	9	1	1
7493	14	S+	04/12/2016	9	1	1
7493	14	S+	05/12/2016	9	1	1
7493	14	S+	06/12/2016	11	1	1
7493	14	S+	07/12/2016	9	1	1
7493	14	S+	08/12/2016	13	1	1
7493	14	S+	09/12/2016	13	1	1
7493	14	S+	10/12/2016	9	1	1
7493	14	S+	11/12/2016	9	1	1
7493	14	S+	12/12/2016	9	1	1
7493	14	S+	13/12/2016	11	1	1
7493	14	S+	15/12/2016	11	1	1
6718	15	S+	23/11/2016	9	1	1
6718	15	S+	02/12/2016	8	1	1
6718	15	S+	04/12/2016	9	1	1
6718	15	S+	06/12/2016	11	1	1
6718	15	S+	07/12/2016	9	1	1
6718	15	S+	08/12/2016	13	1	1
6718	15	S+	09/12/2016	13	1	1
6718	15	S+	10/12/2016	9	1	1
6718	15	S+	11/12/2016	9	1	1
6718	15	S+	12/12/2016	9	1	1
6718	15	S+	13/12/2016	11	1	1
6718	15	S+	14/12/2016	10	1	1
6718	15	S+	15/12/2016	11	1	1
7475	16	DD	24/11/2016	8	1	1
7475	16	DD	25/11/2016	9	1	1
7475	16	DD	26/11/2016	11	1	1
7475	16	DD	27/11/2016	11	1	1
7475	16	DD	04/12/2016	9	1	1
7475	16	DD	05/12/2016	9	1	1
7475	16	DD	06/12/2016	11	1	1
7475	16	DD	07/12/2016	9	1	1
